Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14960303,1079,7269,02/27/2022 15:27,Toronto Eaton Centre (Yonge St),7467,02/27/2022 15:45,Lower Simcoe St / Bremner Blvd,2487,Casual Member
14960306,384,7385,02/27/2022 15:28,20 Charles St E,7311,02/27/2022 15:34,Sherbourne St / Isabella St,2661,Annual Member
14960307,1322,7162,02/27/2022 15:28,Hayter St / Laplante Ave,7114,02/27/2022 15:50,Carlton St / Parliament St,4392,Casual Member
14960310,294,7089,02/27/2022 15:28,Church St  / Wood St,7272,02/27/2022 15:33,Yonge St / Dundonald St - SMART,5088,Annual Member
14960311,794,7005,02/27/2022 15:28,King St W / York St,7342,02/27/2022 15:42,Morse St / Eastern Ave,5577,Annual Member
14960312,976,7418,02/27/2022 15:29,College Park - Yonge St Entrance,7551,02/27/2022 15:45,The Esplanade / Hahn Pl,6144,Annual Member
14960313,1822,7259,02/27/2022 15:29,Lower Spadina Ave / Lake Shore Blvd,7222,02/27/2022 16:00,Sunnyside - Gus Ryder Pool,2842,Annual Member
14960314,775,7076,02/27/2022 15:29,York St / Queens Quay W,7647,02/27/2022 15:42,Elm St/ University Ave (East Side),315,Casual Member
14960315,1624,7059,02/27/2022 15:30,Front St W / Blue Jays Way,7001,02/27/2022 15:57,Wellesley Station Green P,6379,Annual Member
14960316,971,7545,02/27/2022 15:31,Baldwin St / Henry St,7211,02/27/2022 15:47,Fort York Blvd / Garrison Rd,4773,Annual Member
14960317,283,7581,02/27/2022 15:31,High Park Ave / Dundas St W,7414,02/27/2022 15:35,Keele St / Annette St,5849,Casual Member
14960318,396,7001,02/27/2022 15:31,Wellesley Station Green P,7063,02/27/2022 15:38,Queen's Park / Bloor St W,3039,Annual Member
14960319,454,7024,02/27/2022 15:31,Dundonald St / Church St,7269,02/27/2022 15:39,Toronto Eaton Centre (Yonge St),4501,Annual Member
14960320,1533,7271,02/27/2022 15:31,Yonge St / Alexander St - SMART,7271,02/27/2022 15:57,Yonge St / Alexander St - SMART,5399,Casual Member
14960321,1538,7302,02/27/2022 15:31,Winona Dr / Davenport Rd,7618,02/27/2022 15:57,Vaughan Rd / Oakwood Ave,6347,Annual Member
14960322,264,7002,02/27/2022 15:32,St. George St / Bloor St W,7250,02/27/2022 15:36,St. George St / Russell St - SMART,107,Annual Member
